,Fiscal Year,Month,Water Delivery - City of St. Petersburg,Water Delivery - Pinellas County,Water Delivery - City of Tampa (Uniform),Water Delivery - Hillsborough County,Water Delivery - Pasco County,Water Delivery - City of New Port Richey,Water Delivery - Uniform Sales Total,Fixed Water Sales - City of St. Petersburg,Fixed Water Sales - Pinellas County,Fixed Water Sales - City of Tampa (Uniform),Fixed Water Sales - Hillsborough County,Fixed Water Sales - Pasco County,Fixed Water Sales - City of New Port Richey,Variable Water Sales - City of St. Petersburg,Variable Water Sales - Pinellas County,Variable Water Sales - City of Tampa (Uniform),Variable Water Sales - Hillsborough County,Variable Water Sales - Pasco County,Variable Water Sales - City of New Port Richey,TBC Delivery - City of Tampa,TBC Sales - City of Tampa
0,2020.0,10.0,834.39,1523.68,0.39,2152.23,985.53,91.56,5587.780000000001,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,336092.292,613738.304,157.092,866918.244,396971.484,36880.368,0.0,0.0
1,2020.0,11.0,781.95,1451.02,1.23,2055.38,903.29,88.44,5281.31,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,314969.46,584470.856,495.444,827907.064,363845.212,35623.632,0.0,0.0
2,2020.0,12.0,791.56,1429.44,0.0,1986.07,908.94,88.74,5204.749999999999,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,318840.368,575778.432,0.0,799988.9959999999,366121.032,35744.471999999994,0.0,0.0
3,2020.0,1.0,799.21,1471.22,288.1,2032.67,941.42,90.46,5623.080000000001,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,321921.788,592607.416,116046.68,818759.476,379203.976,36437.28799999999,0.0,0.0
4,2020.0,2.0,767.17,1413.71,322.74,1890.55,863.81,86.58,5344.56,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,309016.076,569442.388,129999.672,761513.5399999999,347942.66799999995,34874.424,0.0,0.0
5,2020.0,3.0,869.61,1647.85,0.0,2416.18,1118.81,98.66,6151.109999999999,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,350278.908,663753.98,0.0,973237.304,450656.668,39740.248,597.95,116600.25
6,2020.0,4.0,797.14,1474.07,0.0,2256.2,1043.29,92.34,5663.04,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,321087.992,593755.396,0.0,908797.36,420237.212,37194.552,850.73,165892.35000000003
7,2020.0,5.0,849.2,1599.99,0.0,2385.22,1147.49,94.99,6076.889999999999,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,342057.76,644475.972,0.0,960766.616,462208.972,38261.972,777.99,151708.05000000002
8,2020.0,6.0,815.29,1543.15,0.0,2221.07,1035.26,94.18,5708.950000000001,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,328398.812,621580.8200000001,0.0,894646.996,417002.728,37935.70399999999,9.57,1866.15
9,2020.0,7.0,836.24,1595.12,0.0,2329.5,1025.37,94.64,5880.87,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,336837.472,642514.336,0.0,938322.6,413019.036,38120.992,0.0,0.0
10,2020.0,8.0,811.44,1519.56,0.0,2199.73,1001.07,96.09,5627.889999999999,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,326848.032,612078.7679999999,0.0,886051.244,403230.9959999999,38705.052,0.0,0.0
11,2020.0,9.0,762.13,1415.43,0.0,2014.56,915.44,88.17,5195.73,1891249.0761575503,3321391.8673485084,110.5177517774024,4441124.011076946,1990833.0632379237,206520.2144272948,306985.964,570135.204,0.0,811464.7679999999,368739.232,35514.876000000004,0.0,0.0
12,2021.0,10.0,819.07,1510.37,0.0,2251.6,1047.63,93.91,5722.58,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,315178.136,581190.3759999999,0.0,866415.6799999999,403128.02400000003,36136.568,0.0,0.0
13,2021.0,11.0,777.3100000000001,1433.68,0.0,2128.84,1011.96,89.15,5440.94,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,299108.888,551680.064,0.0,819177.632,389402.208,34304.920000000006,0.0,0.0
14,2021.0,12.0,796.61,1442.51,12.97,2074.84,977.52,88.58,5393.030000000001,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,306535.528,555077.848,4990.856,798398.4319999999,376149.69599999994,34085.583999999995,0.0,0.0
15,2021.0,1.0,754.7297579481755,1425.0114517009188,70.96284118543032,1694.3520508983179,860.8165671985184,77.84773106863904,4883.7204,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,290420.0108584579,548344.4066145136,27306.501288153588,651986.6691856727,331242.2150579899,29955.8069152123,75.0,14625.0
16,2021.0,2.0,703.5111999999999,1307.2248,0.0,1556.3632,798.0252,72.2092,4437.3336,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,270711.10975999996,503020.1030399999,0.0,598888.55936,307080.09696,27786.100159999998,0.0,0.0
17,2021.0,3.0,793.0947,1536.4158,0.0,1852.25,954.8713,86.79690000000001,5223.4287,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,305182.84056,591212.79984,0.0,712745.7999999999,367434.47624,33399.44712,0.0,0.0
18,2021.0,4.0,777.738,1526.949,44.4475,1935.4979000000003,989.955,86.12100000000001,5360.7084,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,299273.5824,587569.9752,17103.397999999997,744779.59192,380934.684,33139.3608,15.0,2925.0000000000005
19,2021.0,5.0,816.2649243352613,1612.6541986888321,1156.2183369308334,2169.6700349437488,1116.5848994381804,95.3487056631444,6966.741099999999,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,314098.74288420856,620549.3356554626,444912.81605098466,834889.0294463545,429661.8693038118,36690.181939177965,342.43607464725346,66775.03455621442
20,2021.0,6.0,764.3748640752036,1479.3592311847885,0.0,1798.5754504662827,967.7814518517383,85.18598170057989,5094.1592,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,294131.4476961383,569257.4321599066,0.0,692091.8333394255,372402.3026725489,32779.565758383134,93.87119553393438,18304.883129117203
21,2021.0,7.0,775.9396547191059,1456.606089644016,0.0,1707.864526832794,893.855617376494,81.40002794489082,4915.550100000001,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,298581.5791359119,560502.0232950173,0.0,657186.269925259,343955.64156647486,31322.730753193988,0.0,0.0
22,2021.0,8.0,772.5138,1426.9765,0.0,1688.3902,882.5917000000001,82.2491,4852.7213,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,297263.31023999996,549100.5571999999,0.0,649692.5489599999,339621.28616,31649.45368,0.0,0.0
23,2021.0,9.0,740.754,1356.654,0.0,1645.5330000000001,848.757,78.429,4670.127,1812074.8322022965,3373019.3584269457,114234.24132073934,4838133.282084598,2217635.672070047,206073.37870753827,285042.13920000003,522040.4592,0.0,633201.0984,326601.6936,30179.479199999998,0.0,0.0
24,2022.0,10.0,779.9507,1465.1870999999999,0.0,1847.4078,944.2135000000001,83.00250000000001,5119.761600000002,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,325551.42218,611569.0955399999,0.0,771108.0157199999,394114.7149,34645.243500000004,0.0,0.0
25,2022.0,11.0,750.9000000000001,1435.953,35.9265,1816.2539,915.6480000000001,80.42089999999999,5035.1023,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,313425.66000000003,599366.7822,14995.721099999999,758104.37786,382191.47520000004,33567.683659999995,0.0,0.0
26,2022.0,12.0,754.8959593393337,1426.4467784599146,2.8797856531843795,1754.658324851898,883.349498033773,78.06615366189637,4900.296499999999,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,315093.57342823787,595398.8853291684,1202.02253163916,732394.3847931823,368710.08047929686,32584.81253847554,0.0,0.0
27,2022.0,1.0,767.4267,1435.6038,4.7019,1740.2191,870.5358,79.15839999999999,4897.6457,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,320323.90458,599221.02612,1962.57306,726367.45234,363361.64292,33040.716159999996,0.0,0.0
28,2022.0,2.0,714.238,1314.8856,136.7584,1595.9386,805.7084,73.3012,4640.8302,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,298122.9412,548833.24944,57082.956159999994,666144.7716399999,336302.68616,30595.920879999998,420.0,81900.0
29,2022.0,3.0,805.1878,1545.4182,171.8732,1899.3544,964.0349000000001,88.09270000000001,5473.961200000001,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,336085.38772000006,645057.55668,71739.87368,792790.52656,402388.16726,36769.892980000004,255.0,49725.0
30,2022.0,4.0,788.36826143214,1533.5733968485392,229.6876054790699,1981.8183414285345,997.9464536795025,87.27234113221391,5618.6664,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,329064.9123217752,640113.5358445803,95871.60652696378,827210.9757122702,416542.8497658243,36427.47518858609,154.31303402410026,30091.04163469955
31,2022.0,5.0,832.3790642381739,1629.0130076090154,528.0611629787952,2233.432976552501,1131.6190679630663,97.15152065844858,6451.656800000001,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,347435.02141301375,679950.0293760031,220412.7294273491,932234.9244130139,472337.79896778386,40551.044722836436,690.0,134550.0
32,2022.0,6.0,782.196,1499.646,0.0,1858.755,984.4290000000001,87.12299999999999,5212.149,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,326488.6104,625952.2403999999,0.0,775844.3369999999,410900.6646,36365.140199999994,30.0,5850.000000000001
33,2022.0,7.0,788.4106,1466.3464999999999,0.0,1752.7803,903.2221999999999,82.69560000000001,4993.455199999999,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,329082.58444,612053.0290999999,0.0,731610.4972199999,377004.94628,34517.14344000001,0.0,0.0
34,2022.0,8.0,784.2938,1435.3402999999998,0.0,1731.3003999999999,891.0857000000001,83.48610000000001,4925.506299999999,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,327364.23212,599111.0412199999,0.0,722644.7869599999,371939.17118,34847.09814,0.0,0.0
35,2022.0,9.0,752.049,1364.604,0.0,1687.365,856.935,79.61099999999999,4740.564,1705261.5239660193,3214263.6356111965,235750.93679333423,4129917.342572617,2083028.2585492542,186682.71628395046,313905.2526,569585.7096,0.0,704306.151,357684.669,33229.6314,0.0,0.0
36,2023.0,10.0,791.8453999999999,1473.7741,85.0544,1894.3823,953.2748,84.2487,5282.5797,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,332891.17481243727,619573.4565827401,35756.801945135965,796396.808506922,400755.96586289594,35418.086307529964,0.0,0.0
37,2023.0,11.0,762.351,1444.368,0.0,1862.4419999999998,924.438,81.63,5075.229,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,320491.752568666,607211.1555885662,0.0,782969.1318532951,388632.9981348126,34317.18691544998,0.0,0.0
38,2023.0,12.0,767.064,1436.0316,5.9128,1800.8240999999998,892.6356999999999,79.3197,4981.7879,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,322473.0940109362,603706.5396752751,2485.7364056556735,757065.0158219647,375263.3365711568,33345.938637479085,0.0,0.0
39,2023.0,1.0,814.1654,1492.3369,122.4834,1852.1415,920.2350000000001,82.3639,5283.7261,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,342274.48501644126,627377.2429024033,51491.923702558204,778638.8098660038,386866.06028591347,34625.717890302956,105.0,20475.0
40,2023.0,2.0,757.7388000000001,1366.848,0.0,1698.6060000000002,851.648,76.25799999999998,4751.0988,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,318552.78736602684,574621.8093961653,0.0,714092.6080816468,358032.14017112757,32058.802398608157,15.0,2925.0000000000005
41,2023.0,3.0,854.2267,1606.4913,0.0,2021.5367000000003,1018.8088,91.6081,5592.6716,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,359116.22359510005,675367.6616457702,0.0,849852.4168852377,428306.40721187426,38511.972199794596,0.0,0.0
42,2023.0,4.0,837.6899999999999,1596.594,55.3203,2112.3869999999997,1056.0390000000002,90.879,5748.9093,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,352164.2081000036,671206.844617003,23256.61001248031,888045.8105692348,443957.95360780216,38205.45914111453,165.0,32175.000000000004
43,2023.0,5.0,884.0146,1695.1326999999999,6.025,2379.3027,1196.6093,101.07860000000001,6262.1629,1700904.9675356445,3210039.168244896,202984.39731807305,4005098.5091836643,2038959.432514782,182774.05740885172,371639.03300486034,712632.4355309494,2532.905196197307,1000256.9580342376,503053.5956494642,42493.362848854624,135.0,26325.0
